Bedrooms,Bathrooms,Size_sqft,Parking_space,Condition,Year,Price_INR
6,3,2573,0,1,2004,34640815
5,3,588,0,2,2014,7745164
2,5,2396,0,1,2019,30004857
2,1,2228,0,1,1986,8395885
4,5,1257,1,2,2020,9994065
2,1,672,0,4,1996,7182075
2,5,934,0,4,1985,5389635
6,5,4194,1,4,2007,54015111
4,2,1775,0,5,2024,19872449
6,5,4582,0,2,1980,46188278
6,2,4056,0,2,2012,44722712
4,1,1052,1,2,1989,7647691
1,5,4119,0,3,2010,34903753
6,2,1410,0,3,1998,16550675
5,1,2933,0,1,2008,26370764
5,4,2738,1,4,1990,13052467
2,3,4603,0,4,2012,48517807
5,2,4474,0,3,1994,29853018
2,3,4296,1,5,2000,23454500
1,4,2446,1,3,1992,11192006
4,4,4141,1,2,2010,25431037
4,2,1979,1,1,2021,9656202
4,3,2615,0,4,2015,21410343
5,3,1747,0,2,2001,21500522
1,5,555,1,1,1998,3918949
5,4,2817,1,2,1996,33492474
5,4,1972,0,3,2004,14680912
1,2,657,0,1,1992,5096074
1,5,4769,0,2,1984,20946485
1,2,983,0,5,1989,8603293
1,3,4885,0,3,1981,43939740
4,2,1280,1,4,1984,5893256
3,5,3228,0,5,1990,30080342
3,5,4995,1,3,2001,52227338
1,5,1828,1,1,2008,7309061
3,1,1612,0,3,1985,5539004
3,4,1073,1,2,2015,9279861
1,3,2380,0,3,1990,12737070
3,3,4302,0,2,2000,33633122
5,1,3983,0,3,2005,22499481
2,1,4671,1,2,2001,39526055
2,2,2626,0,2,1987,18996126
1,1,1338,1,2,1999,6446594
4,2,2711,0,1,2009,18859941
1,2,3864,1,3,2011,23030958
4,1,4955,0,1,2019,58742535
2,1,4856,0,3,1986,42363442
1,4,2203,0,5,1983,17727923
6,5,2833,1,1,2005,25842575
5,2,3060,1,2,2002,17876394
3,2,2956,0,5,1984,29861688
4,2,986,0,5,2001,10020924
6,1,1246,1,5,2024,13508657
3,5,4616,0,3,1981,47030490
3,5,2304,1,2,1993,22373873
1,2,4369,0,4,2010,34776099
3,4,3512,0,3,1999,38807329
5,1,1509,0,2,2006,11534875
6,2,2233,1,2,2023,22898668
3,1,4030,0,1,2024,25168034
1,1,3236,1,2,1982,26350493
5,2,2630,0,2,2017,21250724
2,4,3353,1,2,1985,15207412
6,2,2813,0,2,2018,34837306
3,1,2250,0,5,2008,13932424
1,4,2242,1,2,2017,14004825
2,5,1254,0,4,2008,15359859
2,4,1807,1,2,1991,14546738
4,4,943,0,2,2019,9902849
5,3,3616,0,3,2019,27225637
3,2,4294,1,5,2004,28461726
1,2,1891,1,1,2008,13662635
4,3,2495,0,1,2011,15691329
5,1,580,1,4,1989,2165918
4,3,3047,0,5,2013,21078139
6,1,2573,0,4,1991,25627692
5,5,1543,0,3,2002,14302349
5,4,3028,1,5,1981,25716073
3,3,4159,1,3,2011,50726192
5,3,3721,1,2,1980,38002627
4,4,4285,0,3,2005,55796550
5,1,4662,0,1,1988,21422959
3,1,1277,1,1,2010,15402131
3,5,2165,0,3,2005,26740845
6,3,718,1,1,2021,7654400
4,4,2578,0,2,1989,27702015
2,5,3497,1,2,2024,29027611
2,4,1661,1,3,2000,18820789
5,3,3430,1,5,2021,38127986
6,2,1635,1,1,2016,24049978
1,1,3252,0,4,1991,24921950
5,3,2797,1,4,2013,40462319
6,2,1448,1,5,1999,16900561
4,3,3304,1,3,2018,19843692
4,3,1373,0,4,2000,8321834
4,3,1194,0,2,2002,10108046
4,4,3091,1,3,2000,31686153
4,3,1015,0,1,2013,11874526
6,2,3377,1,5,2017,46914224
6,5,2390,1,3,1996,26802746
3,5,3719,0,3,2021,41290223
2,3,3967,0,4,2024,47379532
4,3,2965,1,3,1990,31633798
1,1,4157,0,2,2020,45783222
6,1,993,1,4,2014,8129929
1,3,712,1,4,1995,3933317
1,5,4908,0,3,2007,52398269
1,3,2340,1,3,2008,13916913
3,3,4651,1,5,2024,47307941
6,3,2380,0,5,1993,21370703
1,2,2029,0,4,1982,13830751
4,5,1860,1,2,1987,6878090
5,3,4082,0,3,1993,40463943
1,3,773,0,5,1986,5251062
3,2,2095,1,4,2020,27279124
6,1,2037,1,1,2021,18693385
3,5,4262,0,5,2005,51528910
1,3,4824,0,1,2013,34242283
6,4,3341,1,5,2007,33856046
5,5,1057,0,4,1992,10276505
1,1,2311,1,1,2019,21299310
3,4,2069,0,4,1989,10399882
2,2,3808,0,5,2015,22565882
4,4,4675,0,4,2015,54100887
3,1,3679,1,1,2011,25478647
6,1,2888,1,5,2005,31470962
1,3,3083,0,4,2016,36546822
4,1,602,0,3,2008,6634291
1,1,1749,1,4,1982,11290194
6,2,1620,0,3,1982,9358759
1,3,3068,1,3,1999,18810956
2,2,2363,0,2,1986,8871881
4,3,1004,0,2,1996,6428028
4,1,3972,0,3,2008,47307796
6,1,2561,0,1,2010,31614198
2,4,3533,0,5,1989,29779235
3,2,3085,1,3,2020,28226928
1,2,2782,0,4,2010,21179166
5,2,4703,0,5,2023,71670318
1,3,4150,1,3,1998,23889604
1,5,2466,1,3,1983,15894851
3,2,1348,0,4,1998,14730626
1,3,1506,1,5,1982,8371654
2,5,3529,0,4,2000,39860725
2,2,2145,1,5,2004,12182216
4,1,2299,1,3,1981,22990796
6,1,1086,1,5,2024,9702772
5,4,4606,1,5,2006,35817127
1,2,550,0,2,1995,2180206
1,2,2882,1,3,2005,19534927
3,3,4569,0,4,2024,54516776
6,2,3711,0,1,2020,26774132
2,3,3166,0,1,1984,29227412
5,5,1832,1,5,2001,9484746
4,5,658,0,5,2009,7671894
2,2,2744,1,1,1983,22176941
6,1,2605,1,1,1999,25884689
4,3,3431,1,4,2004,42452961
3,3,2439,0,2,2020,33817466
3,5,601,0,4,2012,7041986
1,1,2609,0,1,2007,21345797
6,2,4932,1,4,1986,55557886
5,5,1515,1,3,2007,7618517
4,3,3398,1,1,2014,45739255
2,3,3446,0,3,1981,24128420
6,5,3777,1,3,2003,30362721
6,5,2624,0,3,2003,13805074
3,1,598,0,2,2011,3378010
1,2,4718,0,2,2001,23345142
1,3,666,1,2,2000,7018611
4,2,526,0,2,1980,2381815
3,5,4444,1,4,2021,65239050
6,4,4475,0,4,1993,51239833
5,3,2758,0,2,2017,15578080
3,3,2300,0,3,2004,27199129
4,1,1824,1,5,2007,11844939
4,1,3847,1,3,2012,38094207
3,5,650,1,5,2002,6620925
4,2,1991,1,5,1993,10100186
3,5,2580,0,3,2005,11308045
2,1,3053,0,2,1988,22556914
3,2,1827,1,1,2018,12217424
3,5,466,0,5,1994,3280267
4,1,4505,0,5,2003,33303858
4,2,4657,0,5,2003,21290425
1,4,649,1,1,1989,5405681
1,5,4116,1,2,2007,29877133
2,2,3346,0,5,1991,19985204
1,4,1772,0,1,2000,12361414
3,3,3688,1,2,2021,46609028
4,3,3769,0,4,1981,21004276
1,5,815,0,2,2009,4900578
1,3,3750,1,5,1999,26884895
2,1,410,0,4,2000,3020863
6,4,3245,1,3,1996,35978164
2,3,2558,0,2,2021,23737475
3,1,4832,0,5,1985,24588931
4,1,3350,0,1,1980,23976990
2,5,694,0,3,2006,8416554
1,5,890,0,5,2015,8989944
4,2,4567,1,5,1997,49350299
4,2,4677,0,2,2013,40238582
1,1,722,0,5,1984,5672591
2,2,469,1,1,2011,4388373
1,4,4820,0,4,2016,25880450
6,1,3220,1,4,1990,28432688
4,1,1785,0,3,2009,13735469
5,5,2971,1,4,2017,29365778
5,3,4986,1,4,2004,33586976
3,5,3210,1,1,1996,17053828
1,1,2714,1,2,2014,14704998
1,1,2941,1,1,1981,25061602
3,1,4960,1,2,2015,55806814
3,3,4607,1,4,1980,30876898
3,5,2700,0,1,2023,14939615
4,1,4669,0,4,1990,23105097
6,4,4549,1,1,2017,68483007
1,3,1536,0,2,1991,10764220
4,4,3423,1,4,2003,45140809
3,1,1274,1,4,2013,6394991
1,5,1340,0,1,2011,14595940
4,2,1940,1,1,1995,7908543
6,1,2722,0,4,1992,15785639
4,5,4917,1,4,1990,29440016
6,2,1686,0,5,2022,15747259
3,1,461,0,2,2013,3153028
6,4,1091,1,2,2012,15897179
1,2,2683,1,1,1981,23266250
3,5,721,1,2,1981,6952879
1,2,4907,1,2,2004,17278087
5,2,746,0,2,2012,8651414
2,4,2110,1,4,2010,24717816
6,2,2846,0,4,2010,26959728
2,3,4266,0,1,2009,31099643
2,3,4617,1,1,2007,24643531
6,2,972,0,2,2002,11049693
3,4,3308,1,2,2002,18422287
5,3,3668,0,1,2022,35482888
1,1,2245,1,3,1980,16544970
4,2,3391,1,1,1998,35650636
1,4,2070,1,2,1988,7157962
4,5,863,1,1,1987,9599134
1,1,757,1,2,1990,3462254
6,4,3962,1,3,2000,47523859
5,3,3240,0,2,2002,23433686
4,2,2381,0,3,2000,19660135
3,2,3725,0,1,2019,36748323
1,5,1432,0,1,2001,10628308
1,4,2992,1,3,1997,28061996
4,4,2191,0,1,2013,16025149
3,3,1172,0,1,1990,6947028
3,3,2061,0,3,2007,19439438
6,1,2846,1,2,2018,18536843
6,2,3811,1,2,1981,20615865
6,4,3049,1,3,2015,41251234
6,3,1225,1,3,2003,10640079
6,1,1251,1,5,2005,7479604
6,2,4527,1,4,2013,47238199
5,4,2502,0,1,2015,28882749
3,1,4081,1,4,1986,28317038
6,4,1072,0,1,1986,11381568
3,4,3611,1,3,2009,43382678
3,3,2808,1,1,1989,19247518
2,2,1631,0,1,1989,8740378
5,4,4811,0,1,1995,47760179
6,4,3920,1,2,1990,33004641
1,2,1463,0,2,2020,5984874
4,1,3312,0,2,1985,19391970
1,1,1111,1,1,1984,4833187
5,3,2490,0,5,2006,12648073
4,1,2760,0,2,1983,24585172
5,4,2188,0,1,2024,20313931
3,2,2158,0,3,1983,19312537
4,5,1608,0,4,1985,15119395
3,3,1763,0,3,2006,18104795
1,1,3013,1,5,1997,26014641
1,3,4044,0,1,2000,42816554
4,5,4445,0,1,1987,47336368
4,2,2431,0,3,2002,9950195
6,5,3919,0,2,2007,49375588
5,5,4635,1,3,1984,32163340
6,4,2126,0,4,2001,24118655
5,1,1032,0,3,1987,5858935
6,5,3225,1,3,1983,15329403
3,5,993,1,4,1986,7490619
4,1,4330,1,5,1990,26225890
1,5,737,0,4,1999,6101186
5,5,2410,1,5,1983,19334748
5,4,3457,1,4,2010,34387799
1,2,4364,0,3,1982,13082591
6,1,2691,0,4,2015,20934613
5,5,1641,1,4,1992,18159080
3,2,1581,1,5,2020,9688326
4,4,1186,0,1,1998,8235571
1,5,2770,0,4,2003,21934375
4,3,3047,1,2,2004,32962517
5,5,4744,0,2,1983,35293194
5,5,2339,0,5,2024,15604047
1,4,4373,0,2,2001,43530402
3,5,4150,0,3,2017,21826219
2,4,2028,0,4,1997,14876613
1,4,1944,0,3,2003,13735404
2,5,4655,1,2,2011,23738818
6,5,4765,0,4,2020,66387043
2,3,4539,1,2,2012,40563924
3,4,4673,0,3,2012,34110475
6,2,3217,0,3,1985,20696753
2,3,1331,1,1,1997,13332853
6,2,4526,1,1,2006,48693767
2,3,1582,1,4,1989,8666682
3,5,4179,1,3,2019,41548098
2,3,1522,1,5,1988,11946043
2,4,2519,1,2,1985,10404467
2,3,3761,1,5,2010,42003119
1,4,3066,0,5,1989,15661455
1,5,3912,0,4,2010,37729543
1,5,3152,0,2,1993,14120596
3,1,4219,0,4,2010,27352359
6,4,2175,1,2,1996,26418410
5,1,3261,1,1,2008,21278288
2,3,1114,1,3,1986,9738735
2,4,2927,1,1,1992,26402414
3,2,3622,1,2,1981,29114489
2,1,4127,0,2,2010,17925049
1,1,1880,0,3,2020,20967467
5,2,1368,1,5,2005,8471901
4,4,4552,1,2,1999,56722142
2,1,4554,0,5,1983,20414650
1,3,973,0,2,2009,3662577
4,4,825,1,4,2009,9741537
5,2,3234,0,1,2003,34321204
4,1,1399,0,3,2018,16536184
1,5,2051,0,2,2024,16192753
6,3,4895,1,2,1985,31971411
6,1,1143,0,3,2007,5722848
4,3,4136,1,5,2020,37264194
3,3,1203,1,5,1994,7680207
4,2,1060,1,4,2017,8235647
2,5,2101,1,1,1988,13592053
2,4,4231,0,2,2006,37074269
6,5,2795,1,2,2018,35426213
3,3,1908,0,4,1980,12762557
1,4,604,1,4,1981,5720326
2,2,4279,0,5,2023,39278401
6,1,2836,1,4,2003,28643024
5,4,2315,0,2,2011,14224270
6,3,1605,1,5,1980,8903871
2,4,564,0,5,2004,4001019
2,3,2627,1,2,1984,15016899
6,4,1020,1,3,1997,7880890
1,2,2156,1,5,2003,13141747
4,3,3581,1,5,2006,44846951
2,5,1160,1,5,1985,9228512
6,3,2432,1,3,1986,28692210
6,1,908,0,5,2010,6469033
3,2,3799,0,1,1994,39915426
4,2,4994,0,4,1995,36041629
5,3,1989,1,5,1992,17310316
1,5,4770,0,5,2019,44950539
5,5,1860,0,3,2016,18313259
4,2,4251,1,3,2013,36430849
4,3,827,1,1,1995,4084685
4,2,3739,0,4,2016,21028342
5,2,1147,0,3,2020,10473694
4,4,1181,0,2,2011,8475197
6,5,659,0,1,2007,5896564
5,1,1231,1,3,2018,8970259
4,5,901,1,2,2014,12826541
6,5,2407,1,4,1981,15631625
3,1,4055,1,3,1994,27348128
4,1,2181,1,2,1998,18690372
5,4,1444,1,4,1996,10955968
2,1,4599,0,2,2017,33264122
4,2,4712,1,2,2011,44613613
2,1,4920,0,3,2019,23174872
6,3,2326,1,3,2021,30710973
3,3,4529,1,2,2008,45775271
1,1,2319,1,5,1980,12793796
3,3,4191,0,2,1997,41013288
4,2,1307,1,3,1985,7019400
2,5,1831,1,3,1994,18080744
2,5,3088,0,2,1986,28533114
5,4,4811,1,4,1996,52199186
2,3,2728,1,4,2017,18410828
5,4,4323,1,4,2001,46899359
6,1,2799,1,5,1998,18213292
1,3,4689,1,3,1995,24765414
4,4,2600,1,2,1987,15772308
5,5,756,1,2,2008,6062548
1,1,4156,1,2,2022,31758670
2,1,2910,1,4,1987,10554109
2,5,3538,1,4,2010,34330764
1,2,3124,0,3,2002,21515108
2,2,4142,0,4,2009,21640231
6,1,2121,0,2,1998,21872331
6,3,4143,0,1,2020,49226051
1,1,2898,1,1,2019,18501623
5,5,737,0,4,2010,5408421
5,2,2538,0,3,1991,24410354
1,5,3976,0,4,1980,29539960
5,5,2078,0,3,2019,26542941
5,3,2379,1,4,1981,20115707
6,3,4909,0,2,1982,40688805
5,4,2504,1,5,2010,29465341
3,4,2074,1,2,2000,14782024
4,2,2086,1,2,2012,10622493
2,1,1610,1,2,2023,20151083
3,5,4408,1,2,1994,31758026
5,1,3613,0,1,1981,27211701
6,4,3032,0,1,1989,31678005
1,3,4667,0,4,2008,39289315
5,5,1970,1,4,1998,19627873
6,3,661,0,4,1989,2999996
4,1,3917,0,3,1984,32459042
5,3,4425,1,2,1983,22455460
1,3,1953,1,1,1985,13495552
6,4,4077,0,3,2000,19483605
6,4,1231,0,3,2008,7903786
6,3,2564,1,5,2016,17744436
4,4,3044,0,2,2001,28382131
5,2,619,1,3,1989,6981475
4,5,3141,0,5,2006,19085556
2,5,4213,0,5,1986,44464893
2,3,4912,0,1,2002,37503234
5,1,2435,0,3,2021,17309085
4,5,2615,0,4,2012,30390938
1,4,915,1,1,2006,10261954
6,2,1371,0,1,2017,19071763
6,4,2591,1,2,1996,19184101
5,5,2488,1,3,2003,24791189
2,5,2270,1,4,1982,22229119
2,4,1260,1,4,2011,12356763
6,4,4506,1,4,2005,24498576
5,5,3138,1,2,1984,21481322
4,1,1053,1,5,2019,6725770
2,3,3906,0,3,2010,42698621
4,2,3029,1,2,2023,32233986
2,3,2893,0,3,2015,24429678
2,3,3888,0,5,1983,23150075
3,4,1241,1,4,1981,12673453
2,2,3921,1,1,2017,43980019
1,3,2209,1,5,2011,19959434
5,3,1197,1,1,1982,5027678
5,4,3774,1,2,2016,53475022
4,1,3679,0,1,2006,27843939
2,5,2552,0,2,2003,24151570
1,5,2866,1,2,2001,27300579
4,4,1758,0,1,1991,8296381
3,1,1854,1,2,2014,22881930
4,3,3774,0,1,1991,24421873
4,5,4128,1,5,2003,45462829
2,2,4141,0,4,2010,27927016
3,1,4187,0,4,1995,38005971
4,3,3237,0,2,1986,32589522
1,5,3608,1,1,2018,30619241
1,5,4137,1,5,2011,44543132
5,4,1453,1,5,2005,13753860
3,5,3633,1,2,2001,42086150
3,4,3981,1,3,2023,20657894
5,5,2354,0,5,2005,24725337
4,5,652,1,2,2002,3606712
3,5,709,0,1,2003,8473212
1,4,4034,0,1,2016,33232084
1,1,3310,1,1,2011,24854890
2,3,2106,1,4,2021,13388705
3,4,4116,0,1,2022,34040537
4,5,1109,1,5,1982,11563016
5,3,2196,0,5,2019,20661432
5,4,3567,0,5,2015,18508758
4,4,1362,1,1,1987,5743306
6,2,3931,1,2,2009,43680442
2,5,820,0,4,2008,10141202
5,3,2405,0,4,1994,22102437
3,3,2321,1,2,2014,14135085
2,4,4561,1,4,1991,37622181
3,2,2868,1,5,2019,28951776
1,4,592,0,4,1996,3381091
2,2,3593,0,2,2000,25000401
5,4,4479,1,5,2003,27584896
2,2,2440,1,4,1990,18286021
2,4,3604,0,4,1994,30958546
2,3,4640,0,3,2022,40370542
6,2,2586,0,4,1998,11047447
2,1,4075,0,1,1990,29349496
3,3,3144,0,3,1989,32260802
1,5,3110,1,3,2019,29299554
4,2,4783,1,4,1999,18548810
2,3,4467,0,3,2003,23370105
5,5,4428,1,4,1989,46684820
2,5,2822,1,2,2016,24572879
5,4,3368,0,5,1988,27682687
3,3,771,0,2,1984,3229029
5,4,3416,0,2,2000,41958486
4,1,1798,1,5,2004,15197125
1,4,3687,1,2,1986,30784422
5,4,3264,1,3,1985,26171817
5,4,4125,0,1,1987,43880465
1,5,778,0,5,2011,9802345
4,4,3343,1,5,1980,22759769
2,3,1471,1,4,1992,6853021
5,5,838,1,4,1995,4845227
1,1,4787,0,1,1990,27730268
3,2,3868,1,4,1985,31148533
1,3,4283,1,4,2014,40252728
3,4,3501,1,2,2006,38560784
4,1,1186,0,5,1993,13497368
2,3,475,1,3,2003,1951648
1,4,606,1,2,2014,3095972
6,5,2629,1,4,1986,13159459
5,2,4033,1,4,2010,30524719
4,5,2703,1,2,1995,31284942
1,2,2033,0,3,2009,23546108
5,5,1410,1,4,1982,5877151
1,1,3353,0,1,1991,16727260
3,1,1120,0,2,1986,10681330
1,2,3508,1,1,1997,31314862
6,2,3831,1,2,1992,28745307
1,5,4413,0,1,2012,50451276
1,5,1519,0,5,1983,7268794
6,3,4274,1,2,2005,31032118
4,5,3725,1,2,1996,28830585
1,5,2481,0,5,1999,19222728
6,4,3826,0,1,1994,24129080
5,1,3050,0,1,1986,23688980
3,4,4759,0,5,2007,35482320
3,1,3570,1,2,2012,42496531
1,3,1382,0,2,2020,15184665
4,4,956,0,1,1991,4432875
4,2,4028,1,3,2006,34524672
5,2,962,0,3,1995,4890283
1,3,912,1,5,2010,4574680
3,2,1649,0,2,2007,17606353
4,1,4374,1,1,2006,40731305
1,5,4269,1,3,1988,18454378
4,5,3542,1,1,1996,15233966
6,3,2583,1,4,1982,22952824
4,2,2031,0,1,1993,14226269
3,2,2882,0,3,2018,32539659
2,5,4794,0,5,2015,57631228
5,5,4149,1,4,1990,44072599
5,5,4287,1,5,2024,31842174
3,4,2401,0,5,1996,10962251
4,5,2941,1,1,2002,13418076
1,2,3648,1,3,2014,34137204
4,2,4576,1,1,2019,36986169
3,3,3754,0,3,2014,29744259
5,3,3604,1,5,2008,38765876
4,2,2743,0,2,1995,25405010
5,3,1775,1,4,1982,9640008
1,1,1841,1,5,1987,13169174
5,4,3078,0,1,1986,23628051
5,4,2830,0,3,1982,21686541
2,1,2269,0,4,1980,14033400
2,2,1460,0,3,1992,11246611
6,5,1475,0,5,2004,19955606
2,2,813,0,5,2020,5257206
5,3,1217,1,3,2003,9818053
3,5,709,1,1,2008,6804717
5,3,3902,0,5,1992,15767841
3,4,4682,1,3,1981,27721527
3,1,2882,0,2,1989,11485349
2,5,1666,0,1,1989,14395913
4,4,3847,1,1,2020,27465972
1,2,3313,1,1,1989,23735916
2,2,1432,0,5,1997,15767858
2,3,1119,1,4,2016,6764196
4,4,3368,0,2,2007,22995688
1,5,2458,0,4,2015,29447024
5,5,594,1,5,1994,5467991
6,3,3554,1,4,2023,19209513
6,3,596,0,5,2009,6776221
5,5,3681,1,1,1993,39498347
2,5,1460,0,3,2014,11782720
1,3,3071,1,1,2022,34186806
2,5,2208,1,3,2021,16025523
3,5,2876,1,3,2015,31535792
2,4,4326,1,4,1989,46235803
2,3,3027,1,1,1985,21909475
5,4,573,0,4,2020,8299114
5,2,4706,0,5,2015,56035461
5,1,2693,1,3,1998,18899652
6,4,3760,0,1,1994,30784805
3,3,1415,0,1,1991,5501506
5,5,4166,0,2,2020,64558535
1,1,3143,1,5,2009,27583183
6,1,1626,0,5,1997,15876476
4,4,1544,1,3,2017,15024568
1,1,2137,1,3,2024,20676413
1,5,2126,1,5,2021,14835648
5,4,4335,0,4,1988,20481129
4,5,4400,1,4,1995,51151175
4,5,1502,1,3,1998,12270744
6,3,1945,0,2,2003,13816062
4,2,3696,0,4,1990,32576265
3,2,3302,0,2,1996,36494785
5,1,2411,0,4,1983,9937679
4,4,4266,1,1,2007,42421555
6,5,1396,0,2,2007,8514007
3,3,2292,0,2,1981,22524105
2,3,3945,0,2,1994,20437535
2,3,886,1,2,2014,10832022
3,2,1196,0,3,2000,11502128
6,4,1897,1,3,2020,22526404
3,3,4483,1,5,2019,47571844
5,2,2370,1,3,2010,11868762
5,4,2264,1,5,1989,13300269
2,1,1944,0,4,2017,19851771
4,5,3895,1,1,2010,43098152
6,1,2483,0,4,1988,9685054
2,4,4316,1,1,1995,42398057
4,3,1414,1,2,1982,4698120
4,3,1395,1,4,1988,7922930
5,4,993,1,5,2011,7412842
1,3,1712,0,4,2007,6916686
1,1,2726,0,1,2015,11442037
3,1,2656,0,4,1982,20201009
5,4,3379,1,3,2022,19180081
4,2,818,1,1,2015,7941100
6,1,975,0,4,2021,5785858
1,1,3284,1,1,1991,29010904
4,4,2898,0,3,2017,23621552
1,3,1599,1,1,1997,13399968
1,3,3788,1,4,2005,30962370
1,4,865,1,5,1994,9164655
6,1,3230,1,1,1981,17345914
5,1,2537,0,1,2004,22751589
6,3,1019,1,3,1997,9219086
2,2,4421,0,2,1989,24274366
4,1,4754,1,4,2018,24968705
5,2,1668,0,3,1988,13452166
5,4,4453,0,5,2009,58393219
5,5,1567,1,5,1983,16977511
5,4,2733,1,3,1980,12958729
6,2,4212,0,4,1994,34823707
5,3,641,0,5,1989,7122591
3,2,1923,0,5,1989,18060899
4,5,2406,1,5,2018,18806155
5,1,1693,0,3,1999,15682825
4,4,4891,1,3,2000,46180878
3,4,4422,0,1,2007,43760361
3,2,3859,0,2,2020,20264349
4,2,3264,0,4,1981,18846130
1,4,4412,1,5,2023,57420694
2,2,3826,1,1,2001,14164937
1,4,4401,0,3,2021,30560068
1,5,2200,1,3,1980,20521704
6,3,1700,0,1,2012,19770236
1,2,1048,1,1,1996,5019245
5,1,1884,0,2,1996,13186672
6,3,3705,1,5,2019,35837779
6,5,1778,1,4,1988,8837395
3,4,3548,0,2,1986,18303281
1,5,3588,1,5,2008,29400944
3,5,3650,0,3,2022,46042522
4,2,530,1,5,1984,2780100
2,2,844,1,2,2002,8260334
6,3,532,0,5,2004,6631168
4,5,3262,0,4,2014,29323184
4,3,2317,0,3,2019,24772810
5,5,681,1,3,2002,7396786
2,3,1077,1,5,2004,10518865
4,1,858,1,5,1997,6534384
4,1,4264,0,2,2001,18090733
2,2,4101,0,3,2003,18121106
2,3,1426,1,2,1984,4659349
4,3,2794,1,5,1996,21829875
2,2,3341,0,4,2012,26744479
4,4,1674,0,2,2004,13912103
4,5,2405,1,2,2006,25251205
5,4,1310,1,3,2017,10368264
1,4,1423,1,3,1995,7022501
4,5,4378,1,3,2016,32603357
3,2,4701,0,2,2023,59081497
6,3,1229,1,2,1987,9375299
1,2,4958,0,5,1985,28284778
1,1,1892,1,5,2012,7382567
1,1,3518,1,4,1985,22191573
5,2,1865,1,4,1988,7085702
4,2,3069,1,1,2015,39656010
5,2,3231,0,4,2016,32765197
4,1,2350,1,4,1995,14029001
5,5,1410,0,5,2013,20583580
5,4,2049,0,4,1985,8527202
6,1,1902,0,1,2016,24150468
3,2,602,0,3,2022,4920076
5,3,1487,0,4,2009,12894249
6,5,619,1,4,1998,3190852
2,4,3222,1,3,2009,38984250
3,2,3237,0,1,2013,24174676
5,2,4770,0,3,2009,54563355
1,3,3920,0,5,2006,40870084
2,2,3276,0,1,1983,15411577
2,3,4844,1,1,2011,28084032
6,1,2236,1,4,1997,15152376
2,4,2084,1,1,2015,21898085
3,4,1485,1,3,1993,15914858
5,2,4583,1,4,1981,49065369
5,1,4383,1,3,2013,45433400
1,2,4119,0,4,1992,36810289
6,1,405,0,2,1998,3686458
1,5,2194,0,4,2012,12357032
2,5,4593,1,3,2012,53962948
1,4,459,1,2,2012,3744838
3,1,505,1,3,1984,3530008
